128
1       2       3       4	7	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	7	1	1	1	1	1	7	1	7	1	1	1	1	1	7	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	7	1	1	1	1	1	7	1	7	1	1	1	1	1	7	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	7	1	1	1	1	1	7	1	7	1
5	6	7	8	2	5	2	5	1	1	1	1	1	1	1	1	1	1	1	1	2	5	2	5	1	1	1	1	2	5	2	5	1	1	1	1	2	5	2	5	1	1	1	1	1	1	1	1	1	1	1	1	2	5	2	5	1	1	1	1	1	1	1	1	1	1	1	1	2	5	2	5	1	1	1	1	1	1	1	1	1	1	1	1	2	5	2	5	1	1	1	1	2	5	2	5	1	1	1	1	2	5	2	5	1	1	1	1	1	1	1	1	1	1	1	1	2	5	2	5	1	1	1	1	2	5	2	5
9	10	11	12	7	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	7	1	1	1	1	1	7	1	7	1	1	1	1	1	7	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	7	1	1	1	1	1	7	1	7	1	1	1	1	1	7	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	7	1	1	1	1	1	7	1	7	1
13	14	15	16	2	5	2	5	1	1	1	1	1	1	1	1	1	1	1	1	2	5	2	5	1	1	1	1	2	5	2	5	1	1	1	1	2	5	2	5	1	1	1	1	1	1	1	1	1	1	1	1	2	5	2	5	1	1	1	1	1	1	1	1	1	1	1	1	2	5	2	5	1	1	1	1	1	1	1	1	1	1	1	1	2	5	2	5	1	1	1	1	2	5	2	5	1	1	1	1	2	5	2	5	1	1	1	1	1	1	1	1	1	1	1	1	2	5	2	5	1	1	1	1	2	5	2	5
7	1	7	1	7	1	7	1	1	1	1	1	1	1	1	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	1	1	1	1	1	1	1	1	7	1	7	1	7	1	7	1	1	1	1	1	1	1	1	1	7	1	7	1	7	1	7	1	1	1	1	1	1	1	1	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	1	1	1	1	1	1	1	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1
2	5	2	5	2	5	2	5	1	1	1	1	1	1	1	1	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	1	1	1	1	1	1	1	1	2	5	2	5	2	5	2	5	1	1	1	1	1	1	1	1	2	5	2	5	2	5	2	5	1	1	1	1	1	1	1	1	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	1	1	1	1	1	1	1	1	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5
7	1	7	1	7	1	7	1	1	1	1	1	1	1	1	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	1	1	1	1	1	1	1	1	7	1	7	1	7	1	7	1	1	1	1	1	1	1	1	1	7	1	7	1	7	1	7	1	1	1	1	1	1	1	1	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	1	1	1	1	1	1	1	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1
2	5	2	5	2	5	2	5	1	1	1	1	1	1	1	1	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	1	1	1	1	1	1	1	1	2	5	2	5	2	5	2	5	1	1	1	1	1	1	1	1	2	5	2	5	2	5	2	5	1	1	1	1	1	1	1	1	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	1	1	1	1	1	1	1	1	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	7	1	1	1	1	1	7	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	7	1	1	1	1	1	7	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	7	1	1	1	1	1	7	1	7	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	2	5	1	1	1	1	2	5	2	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	2	5	1	1	1	1	2	5	2	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	2	5	1	1	1	1	2	5	2	5
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	7	1	1	1	1	1	7	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	7	1	1	1	1	1	7	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	7	1	1	1	1	1	7	1	7	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	2	5	1	1	1	1	2	5	2	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	2	5	1	1	1	1	2	5	2	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	2	5	1	1	1	1	2	5	2	5
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1	7	1
